BANNER_DESCRIPTION__C,BANNER_IMAGE__C,BANNER_SUB_TITLE__C,BANNER_TITLE__C,FOOTER_PARENT_LINK__C,ID,LAYOUT_NAME__C,LAYOUT_TITLE__C,NAME,STORE__C,STORE__R.NAME
,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000Qj6L&d=%2Fa%2FO40000005WyX%2FSvYHB4DGQczb8ktm6JbuDBIAJolq7kffXE7spicF.lQ&asPdf=false,Apps,IN THE KNOW,IN THE KNOW,a2ZO40000001ZDRMA2,Apps,,A-0033,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/e1cc403c3e/resource/0817A000000RiNx/promotions.jpg,Promotions,IN THE KNOW,IN THE KNOW,a2ZO40000001ZF3MAM,Promotions,,A-0034,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/d2adf48e24/resource/0817A000000RYpS/assets/images/banner1.jpg,Videos,IN THE KNOW,IN THE KNOW,a2ZO40000001ZGfMAM,Videos,The Walter Network,A-0035,0ZEO9000002S0ojOAC,Walter-EN_CA
"Looking to learn more about our products, or want to know which would be right for your needs and applications? Enter your details below and a qualified WALTER representative will follow-up with you!",https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/82cca60768/resource/0817A000000RYpS/assets/images/banner1.jpg,Contact Us,IN THE KNOW,,a2ZO40000001ZIHMA2,Contact Us,,A-0036,0ZEO9000002S0ojOAC,Walter-EN_CA
Become an Authorized WALTER Distributor!,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QQ25&d=%2Fa%2FO40000005RVp%2F6fl.7RB8HhdKjze7j_7dR4Z1BR8Wl6jj96iUjOM96Pc&asPdf=false,Become a Distributor,DISTRIBUTION,IN THE KNOW,a2ZO40000001ZJtMAM,Become a Distributor,Become a Distributor,A-0037,0ZEO9000002S0ojOAC,Walter-EN_CA
News & Press Releases,https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/d2adf48e24/resource/0817A000000RiNx/newsandevents.jpg,News & Press Release,In The Know,IN THE KNOW,a2ZO40000001ZLVMA2,News & Press Release,News & Press Releases,A-0038,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/032c404bf3/resource/0817A000000RYpS/assets/images/banner1.jpg,Site Map,Walter,,a2ZO40000001ZN7MAM,Site Map,,A-0039,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000PzJd&d=%2Fa%2FO40000005M4j%2FbUdil.z89P5x7.rmbqfv15rtaBSnujd3NTejT.Y6aTQ&asPdf=false,Terms and Conditions of Sale,Term of Use,,a2ZO40000001ZOjMAM,Terms and Conditions of Sale,Terms and Conditions of Sale,A-0040,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.my.site.com/us/webruntime/org-asset/7ccd911b51/resource/0817A000000RYpS/assets/images/banner1.jpg,Privacy Policy,Walter,,a2ZO40000001ZQLMA2,Privacy Policy,,A-0041,0ZEO9000002S0ojOAC,Walter-EN_CA
,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QHJl&d=%2Fa%2FO40000005Okr%2F7msOrQ.08FkTBQQecUriDQitS2J53C4K_3_RypW0b4c&asPdf=false,Where to Buy,ABOUT US,ABOUT US,a2ZO40000001ZRxMAM,Where to Buy,,A-0042,0ZEO9000002S0ojOAC,Walter-EN_CA
