DESCRIPTION__C,IMAGE__C,NAME,SEQUENCE__C,STORE__C,STORE__R.NAME,WALTERB2BSTORE_HISTORY_CHAPTER__R.NAME,YEAR__C,WALTERB2BSTORE_HISTORY_CHAPTER__C
"Mr. Pierre Somers was appointed President
of the company in 1989.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNCI&d=%2Fa%2FO40000005PYt%2FBLSkiDebzFj_p_SuZiap5KNF4T_xEssjkl2r6jv_DJc&asPdf=false,CH 4 - 1989,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 04,1989,a24O9000003YhNQIA0
"Start-up of U.S. operations,
with a base office in Windsor, Connecticut.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNIj&d=%2Fa%2FO40000005Q3V%2F9xYA9jSHD.Zq_G3W6nPEn3x4qJqKKhOMm6.nEaQh7GM&asPdf=false,CH 5 - 1990,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 05,1990,a24O9000003YhNRIA0
"Start-up of Brazilian operations in São Paulo
and the launch of the ENDURO-FLEX flap disc.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNNZ&d=%2Fa%2FO40000005Q6j%2FmltfflDPQlskXSuUu4HOwcGNxl3ghQ6FCKAu9GBK48Y&asPdf=false,CH 5 - 1996,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 05,1996,a24O9000003YhNRIA0
"Establishment of German operations through joint venture
with CB-Chemie und Biotechnologie.

ISO 9001 certification of Canadian operations.
ISO 14 001 certification of German operations.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNPB&d=%2Fa%2FO40000005Q8L%2F5NNCxk8eV0eKH7Tyi8cnvw8V3ZJdtS3I7xp.CVRB0AM&asPdf=false,CH 5 - 1999,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 05,1999,a24O9000003YhNRIA0
"Start-up of operations in Mexico.
Acquisition and conversion of Swiss operations.
Launch of Surfox, a safer and faster alternative for weld cleaning.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNQn&d=%2Fa%2FO40000005Q9x%2FMBrMBkfYKcl0xevQRJ_GOy14CxXIsFSPjARW0p6TCH0&asPdf=false,CH 6 - 2000,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2000,a24O9000003YhNSIA0
"Launch of Bio-Circle Parts
washing system using
bio-remediation.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNU1&d=%2Fa%2FO40000005QDB%2FEGm8Z7w_oQju.VABH7NcfqCnvdqk_q4Fv1KmtYT_Ohc&asPdf=false,CH 6 - 2001,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2001,a24O9000003YhNSIA0
"ONCAP, the middle-market private equity platform of Onex Corporation, acquires a majority stake in Walter Surface Technologies in partnership with the existing management team.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QMeR&d=%2Fa%2FO40000005QUv%2Fq9NE0ghiUUw77hae4IKqN6i2U5NyHW_9empMFodFDMc&asPdf=false,CH 7 - 2018,6,0ZEO9000002S0ojOAC,Walter-EN_CA,,2018,#N/A
"Celebration of 50th Anniversary

Walter J. Somers Chair at the
HEC Business School.

Bio-Circle certified by Environment.
Canada's Environmental Choice Program. -
Eco-Logo.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNVd&d=%2Fa%2FO40000005QEn%2F_oBWyshVxdxow05pCcfdjGfDnDv_zhvikrR9g34zqGM&asPdf=false,CH 6 - 2002,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2002,a24O9000003YhNSIA0
Technology Innovation Award by the Wall Street Journal.,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNXF&d=%2Fa%2FO40000005QGP%2FSLbx98DCll2rQfm.HHmD17._.q3rqlX4i66CV6gyGMw&asPdf=false,CH 6 - 2006,4,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2006,a24O9000003YhNSIA0
"ISO 14 001 certification
of Brazilian operations.

Bio-Circle L approved for the
NSF Non-food Compounds
Registration Program & EPA
approval process started.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QLNS&d=%2Fa%2FO40000005QI1%2F4s.4gNlquQm9r_i_bYF_Dewks9CWl2xkHtZCcqYxNfw&asPdf=false,CH 6 - 2008,5,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2008,a24O9000003YhNSIA0
"Launch of LEED® (Leadership in Energy and Environmental Design Green Building
Rating System) building project for New International Headquarters in Pointe-Claire,
Quebec Canada.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNaT&d=%2Fa%2FO40000005QJd%2FYNJJ4MxUw.ZgL0pAzD2n1f53HNoh6BYAXaK4E9w4Jjc&asPdf=false,CH 6 - 2009,6,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 06,2009,a24O9000003YhNSIA0
"Building officially completed and certified LEED GOLD, in recognition of performance
in five key areas of human & environmental health: sustainable site development,
water efficiency, energy efficiency, materials selection, indoor environmental quality.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNdh&d=%2Fa%2FO40000005QMr%2Fjsbm8Cy4gtsz2l4dW7YwGq_5AVY.8D6XcbpluxFNtQ4&asPdf=false,CH 7 - 2012,1,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 07,2012,a24O9000003YhNTIA0
"Launch of ZIP-ONE, the thinnest cutting wheel on the market.
Launch of family of Nature Boost products (GS 200, CB 100 and Bio-Circle L Ultra).
Launch of the Clean-Box concept.",https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNfJ&d=%2Fa%2FO40000005QOT%2F7K2U59rvtaECxEPH3XhYbzkcaYjYe3xEZl.s6HROUrg&asPdf=false,CH 7 - 2013,2,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 07,2013,a24O9000003YhNTIA0
Walter inaugurates new state-of-the-art sustainable manufacturing facility for the Bio-Circle product line.,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNgv&d=%2Fa%2FO40000005QQ5%2FKEvPewUv4d8Yt0S4CLzvyACs4X1_2.GEXmzGIo4bNCg&asPdf=false,CH 7 - 2013,3,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 07,2013,a24O9000003YhNTIA0
ZIPCUTTER is launched as Walter's first cordless grinder. It's power and long battery life raise the bar in portable grinding operations.,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNiX&d=%2Fa%2FO40000005QRh%2FWvq78deCfpehKz2fX_9IAjRV.8DO06xAn9Ddgaa1shA&asPdf=false,CH 7 - 2015,4,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 07,2015,a24O9000003YhNTIA0
Walter eliminates the need for hazardous weld cleaning operations with the introduction of SURFOX - a family of highly engineered electrochemical weld cleaning and marking systems.,https://waltersurfacetechnologies--rundtc.sandbox.file.force.com/sfc/dist/version/download/?oid=00D7A0000000oxS&ids=068O4000000QNk9&d=%2Fa%2FO40000005QTJ%2Fw7EVZwevb6dEskga0DigHqhwSLXujQVV2aey2of2Yas&asPdf=false,CH 7 - 2017,5,0ZEO9000002S0ojOAC,Walter-EN_CA,Chapter 07,2017,a24O9000003YhNTIA0
